aid,body,qid,posted_by
348ed4c5-9360-4334-8310-444328e3a589,"Solver is a Microsoft Excel add-in program you can use for what-if analysis. Use Solver to find an optimal (maximum or minimum) value for a formula in one cell — called the objective cell — subject to constraints, or limits, on the values of other formula cells on a worksheet",713780aa-7cb0-4e32-9ae2-ed1b6eb706b4,d7c28699-7f7b-4431-81f8-ed4a2238fd30
3596bde5-5dd7-4d55-aae0-e30ea1a4334f,"INSERT INTO table_name(column1, column2, …)VALUES (value1, value2, …)RETURNING id;",08b83bf0-5e09-491a-9a16-f9ba65c0ea34,1a589a22-184a-4338-8b92-a31b9976cfb0
3741ade7-5841-4cd1-8870-ae6a8da34204,"pandas.DataFrame(data, index, columns)",9784fb6f-d543-4e1d-8651-dbe0f21b50ef,6f352cc4-5329-4977-992c-0250a68c70b6
3e83b241-50c9-4abb-94a7-f7afea31f2aa,DELETE FROM table_table LIMIT row_count;,22562942-7b30-4446-878f-31a8f1976aac,387bb5d7-9b84-4867-8597-65ed834dddcd
3fa95cce-e590-4102-9a49-6ccd95a5d5cf,"Crystal Ball automatically calculates thousands of different what if cases, saving the inputs and results of each calculation as individual scenarios",97296533-a502-43c2-88ce-819de374dc95,6a5593af-3a51-4ffe-b2c1-852d1d51f42c
45572cba-fc7a-4f4b-90d9-99a43934a1a9,The K in K-Means Clustering has nothing to do with the K in KNN algorithm. k-Means Clustering is an unsupervised learning algorithm that is used for clustering whereas KNN is a supervised learning algorithm used for classification,8124984a-22e9-4233-a9fc-baf233d63d1e,37ee18d2-0917-4a2e-8b07-d380dd3c7ae0
4f9224cc-0eda-456f-8b07-13d648a0c2a1,"Bagging, also known as bootstrap aggregation, is the ensemble learning method that is commonly used to reduce variance within a noisy dataset",f3eacb8a-6eef-462f-82f9-591b5e815006,f5e0b97a-98fa-42b8-a845-b3ce1f86a1d9
572ebc03-a63f-481c-a1e9-efb6fad633e9,GRG Nonlinear – This is the most commonly used method to solve nonlinear problems,283960e3-d03c-4f59-be85-fe2c1ee8fc7d,3f9f8994-e7e6-40bd-9575-f288de7eeedc
5b784ef0-3064-47a1-9273-794f72c5f861,A heatmap (or heat map) is a graphical representation of data where values are depicted by color,d34860d3-9d23-467f-96b2-18c08d77779a,b33acf68-7a18-4d93-99bb-abdf75bc6d7f
60486278-dd0f-4354-8491-90e1b2e98dfc,"UPDATE table_name SET column1 = value1, column2 = value2, ... WHERE condition;",9f284888-96ee-4868-848a-d056a47df95d,87c19966-a598-4199-9c20-45c58559b184
6849c0da-a52e-4987-840e-53c34d2908fd,DELETE FROM employee WHERE emp_id = 2 RETURNING *;,6547a6c9-f037-49df-9690-230325a62c60,87c19966-a598-4199-9c20-45c58559b184
6a065051-b15a-438b-a8a1-804d7a5ceb52,A Radial basis function is a function whose value depends only on the distance from the origin,913026ed-0d2c-49a5-afd2-1f95f79e2667,469d7302-7fc1-403f-ac42-a84850433dfe
6de1b25d-5792-43cf-a425-fd42c4f1fd85,"A Pandas DataFrame is a 2 dimensional data structure, like a 2 dimensional array, or a table with rows and columns",676132f9-f096-4ee3-98e6-0af366e6358b,bb4d5c07-02bb-4fa3-bde2-fa4e8e6bf326
729106ed-71bf-41d0-a8d2-963ea486297b,A recursive query is one that is defined by a Union All with an initialization fullselect that seeds the recursion,3194e148-9d0c-41fe-8557-44d6847c2b2b,475300e3-5ae8-48ff-a574-b293f5f596f4
74bb78de-be5f-4331-b67b-74293ef4a4e1,A filter or kernel is applied to each image to produce an output that gets progressively better and more detailed after each layer,517b9096-5db6-4f9b-b6ad-44d5076770e2,6b143124-2d90-4d31-84d3-66f04b411423
754f4296-a199-4ba7-967c-02cfb5dbde9e,"A Pandas DataFrame is a 2 dimensional data structure, like a 2 dimensional array, or a table with rows and columns",9784fb6f-d543-4e1d-8651-dbe0f21b50ef,75fda575-78d8-411d-a343-4c5036217903
7e53e03d-d471-4ad3-bb07-38dcc6fa4c93,"UPDATE [LOW_PRIORITY] [IGNORE] table_name SET column_name1 = expr1, column_name2 = expr2, ... [WHERE condition];",9f284888-96ee-4868-848a-d056a47df95d,8686702a-5f5e-4917-8fd2-01eb7a0369f6
81cf7156-f997-4c9b-942a-372895e4a124,"The convolutional Neural Network CNN works by getting an image, designating it some weightage based on the different objects of the image, and then distinguishing them from each other",517b9096-5db6-4f9b-b6ad-44d5076770e2,58b2b648-61ed-4f0b-abb4-f54d5bd19ba0
8389c55d-50f3-4323-b205-69b3f9ec7fe3,"Solver is a Microsoft Excel add-in program you can use for what-if analysis. Use Solver to find an optimal (maximum or minimum) value for a formula in one cell — called the objective cell — subject to constraints, or limits, on the values of other formula cells on a worksheet",713780aa-7cb0-4e32-9ae2-ed1b6eb706b4,d2deb08e-f08f-4527-89a2-6f338e2ea5bc
8945b2c5-84cd-4c4b-b93a-f3cd8db9b304,"INSERT INTO table_name(column1, column2, …)VALUES (value1, value2, …)RETURNING *;",08b83bf0-5e09-491a-9a16-f9ba65c0ea34,1c4e1640-cadf-4628-a8be-f6b49635fef7
8f959ff9-863d-484e-949e-7e70ff4981a7,"Typically, binary classification tasks involve one class that is the normal state and another class that is the abnormal state",74dd7c44-d969-483e-88e6-d51ab3d4192d,f5e0b97a-98fa-42b8-a845-b3ce1f86a1d9
90c1a651-c872-4951-9765-d45b14d88d6b,A heat map (or heatmap) is a data visualization technique that shows magnitude of a phenomenon as color in two dimensions,d34860d3-9d23-467f-96b2-18c08d77779a,c9fec0fb-ff42-4a93-bf6f-ae142c6c6dd9
92dbe981-a96a-4f1d-976b-7ded4294d5a9,"PGAdmin is a web-based GUI tool used to interact with the Postgres database sessions, both locally and remote servers as well",f2aa45e7-f98e-4d7b-b4b5-621d58cc8367,f5e0b97a-98fa-42b8-a845-b3ce1f86a1d9
96b4dd56-b26a-4517-9735-9ef1b39b7369,"The simplex algorithm, developed by George Dantzig in 1947, is the first practical procedure used to solve the LP problem",e6b0c3e8-0fbc-46a1-9d54-08112d8a6bac,df4a7175-c712-42fa-861a-45af932ad0d1
9700cd54-2b66-419e-9f34-51e2f183dd3a,KNN Algorithm is based on feature similarity and K-means refers to the division of objects into clusters,8124984a-22e9-4233-a9fc-baf233d63d1e,387bb5d7-9b84-4867-8597-65ed834dddcd
98fe5599-7e3c-436f-9d1c-ef1b920f4596,DELETE FROM table_name WHERE condition;,22562942-7b30-4446-878f-31a8f1976aac,2be458bf-f1c3-4393-99ea-58bab9865dea
9d9ad3d2-f0e1-4f12-bbc8-bb278c74583d,DELETE FROM table_name;,22562942-7b30-4446-878f-31a8f1976aac,37ee18d2-0917-4a2e-8b07-d380dd3c7ae0
a0e1c3e5-588d-4400-9e03-e8db9eae4019,Excel Solver[1] is an optimization tool that can be used to determine how the desired outcome can be achieved by changing the assumptions in a model,713780aa-7cb0-4e32-9ae2-ed1b6eb706b4,df4a7175-c712-42fa-861a-45af932ad0d1
aaaa5e57-f19a-4adb-9b29-03e563b4a8bf,"To insert data into a MySQL table, you would need to use the SQL INSERT INTO command",51c26c51-f0d5-471a-b2fb-fdcf4ff84d12,75fda575-78d8-411d-a343-4c5036217903
aacccd02-e4f1-405a-8d90-4576047765a6,DELETE FROM <table_name>[WHERE <condition<]RETURNING * | <output_expression< AS <output_name<;,6547a6c9-f037-49df-9690-230325a62c60,8686702a-5f5e-4917-8fd2-01eb7a0369f6
ae688813-aa2b-48f3-b03c-4645298a98aa,Crystal Ball is a graphically oriented forecasting and risk analysis program that takes the uncertainty out of decision-making,97296533-a502-43c2-88ce-819de374dc95,6b143124-2d90-4d31-84d3-66f04b411423
b3281b3b-0777-4b82-8a85-dcd1d8474288,"INSERT INTO table_name(column1, column2, …)VALUES (value1, value2, …);",08b83bf0-5e09-491a-9a16-f9ba65c0ea34,17d722aa-dcbe-4f9a-a517-9bd34b355809
b4c90f19-6866-472e-971e-fed69b460361,"A DataFrame is a data structure that organizes data into a 2-dimensional table of rows and columns, much like a spreadsheet",676132f9-f096-4ee3-98e6-0af366e6358b,c9fec0fb-ff42-4a93-bf6f-ae142c6c6dd9
c000a353-4e94-4646-bd88-4f6a37825578,PGAdmin is a web-based Graphical User Interface (GUI) management application used to communicate with Postgres and derivative relational databases on both local and remote servers,f2aa45e7-f98e-4d7b-b4b5-621d58cc8367,f5e0b97a-98fa-42b8-a845-b3ce1f86a1d9
c3332ee6-b986-4b07-9159-952545daab38,A radial basis function (RBF) is a real-valued function whose value depends only on the distance between the input and some fixed point,913026ed-0d2c-49a5-afd2-1f95f79e2667,3f9f8994-e7e6-40bd-9575-f288de7eeedc
c3f4566f-e0df-43d5-8281-eb8c52d7f0af,A recursive subquery factoring clause must contain two query blocks combined by a UNION ALL set operator,3194e148-9d0c-41fe-8557-44d6847c2b2b,57bba89b-10a6-49fe-afbc-6cd721a93b6d
c7b866b5-c24c-4fa1-b85d-7292f8a1acc6,"UPDATE table_name SET column1 = value1, column2 = value2, ... WHERE condition RETURNING * | output_expression AS output_name;",949dcc49-3220-42a8-959c-e0c807a7be75,57bba89b-10a6-49fe-afbc-6cd721a93b6d
cb2ebc65-a016-4215-b70f-e6d234c4dc60,DELETE FROM employee;,6547a6c9-f037-49df-9690-230325a62c60,9a23f90e-aea6-4da3-807f-66f3f6c4264d
d16bf97d-84be-4a7e-bd74-1b985a263e4f,Bagging (Bootstrap Aggregation) is used when our goal is to reduce the variance of a decision tree,f3eacb8a-6eef-462f-82f9-591b5e815006,f60655cd-0b60-4353-819d-33cddbf459ee
d489d618-6479-4c23-bc16-2bdb9b2903be,The iterative fullselect contains a direct reference to itself in the FROM clause.,3194e148-9d0c-41fe-8557-44d6847c2b2b,48ef54ce-9740-4f39-be07-dfa839910b0b
e149a51c-58b5-4297-81fd-7e7926ceef3f,"INSERT INTO table_name VALUES (value1, value2, value3, ...);",51c26c51-f0d5-471a-b2fb-fdcf4ff84d12,726789c7-5a76-41cf-9e57-cc2b5a713485
e50acb98-9dcc-4cda-945c-fbfb45e8f89b,"Given a set of n-variable linear constraints, the simplex algorithm first finds a basic feasible solution that satisfies all the constraints",e6b0c3e8-0fbc-46a1-9d54-08112d8a6bac,d7c28699-7f7b-4431-81f8-ed4a2238fd30
ed35dd7d-c795-4a8c-8a5e-d6bd0f9c1aa5,"In machine learning, binary classification is a supervised learning algorithm that categorizes new observations into one of two classes",74dd7c44-d969-483e-88e6-d51ab3d4192d,f60655cd-0b60-4353-819d-33cddbf459ee
edf48603-4119-4a6c-a2e5-d5ed00bd2129,"INSERT INTO table_name (column1, column2, column3, ...)VALUES (value1, value2, value3, ...);",51c26c51-f0d5-471a-b2fb-fdcf4ff84d12,6f352cc4-5329-4977-992c-0250a68c70b6
f0d07441-8331-4594-a7df-901f9dcfeb71,This looks for a local optimal solution,283960e3-d03c-4f59-be85-fe2c1ee8fc7d,4178f1b1-6e07-484d-9f29-329a6f65ba95
f1c7be84-e448-48a8-812b-bf7c77b20bc5,Binary classification is the task of classifying the elements of a set into two groups (each called class) on the basis of a classification rule,74dd7c44-d969-483e-88e6-d51ab3d4192d,f01d4781-cb37-4cc8-aee9-62b380ad8380
f4386195-89be-443b-92c7-19d2e74bd907,"In machine learning, the radial basis function kernel, or RBF kernel, is a popular kernel function used in various kernelized learning algorithms",913026ed-0d2c-49a5-afd2-1f95f79e2667,4178f1b1-6e07-484d-9f29-329a6f65ba95
d603460e-da87-4112-b184-b9da21908fe6,this is the new answer,f2aa45e7-f98e-4d7b-b4b5-621d58cc8367,48ef54ce-9740-4f39-be07-dfa839910b0b
7f8ba7f5-5898-4aa0-a41c-eca95ca3d1b5,here is the new answer,3194e148-9d0c-41fe-8557-44d6847c2b2b,3f9f8994-e7e6-40bd-9575-f288de7eeedc
87f803c1-8e6e-4855-b9f9-829cbfd1bb34,I am posting new answer related to supervised learning,74dd7c44-d969-483e-88e6-d51ab3d4192d,3f9f8994-e7e6-40bd-9575-f288de7eeedc
2c5841c3-b4d6-4c2a-886b-ba24b626d6bf,I am posting new answer related to supervised learning,74dd7c44-d969-483e-88e6-d51ab3d4192d,3f9f8994-e7e6-40bd-9575-f288de7eeedc
329860c2-c680-41b4-b6b2-caddcb185e98,this is the answer for binary classifier,74dd7c44-d969-483e-88e6-d51ab3d4192d,3f9f8994-e7e6-40bd-9575-f288de7eeedc
372ba56e-f408-456c-b0e9-3c464bd975d5,answer to PostgreSQL,949dcc49-3220-42a8-959c-e0c807a7be75,3f9f8994-e7e6-40bd-9575-f288de7eeedc
