comment_id,qid,body,posted_by
51288824-1dca-4142-ab34-a05cdc5e8009,0f36b276-2315-49d0-97f2-4f2844840a45,nenrei 33-sai jitaku wa                                                                                                                                                                                                                                         ,475300e3-5ae8-48ff-a574-b293f5f596f4
528d52b5-e68a-43f3-8e2c-ccad51fd50e4,242d8dd7-97d4-4691-9b7d-faf4c4ce658a,20-bu hodo no sutoretchi de karada o hogushite kara yuka                                                                                                                                                                                                        ,87c19966-a598-4199-9c20-45c58559b184
55d28bd9-8f26-48a8-9dd1-40219bdc3937,0d6b0de2-d9ef-429c-91b0-435764602f78,kratos thimos that tous skotoso oloos                                                                                                                                                                                                                           ,4178f1b1-6e07-484d-9f29-329a6f65ba95
5b215c28-17d4-4165-af80-36e4dd549e15,09bbeb23-b161-4666-80f7-1a451cc07820,to telos arxizei tora to telos arxizei tora                                                                                                                                                                                                                     ,387bb5d7-9b84-4867-8597-65ed834dddcd
60165174-67ec-406b-b63b-e4dd3c901526,3741ade7-5841-4cd1-8870-ae6a8da34204,atama o kakaeru yōna toraburu toka yoru mo                                                                                                                                                                                                                      ,17d722aa-dcbe-4f9a-a517-9bd34b355809
620cf0d3-5dc6-46ac-829c-949cbb3e93b1,2ae40faa-5cd3-4b3c-94fe-ecf1298322b3,ni tsuku to hotondo asamade jukusui-sa                                                                                                                                                                                                                          ,9a23f90e-aea6-4da3-807f-66f3f6c4264d
6dbd0895-e3d5-48de-a2ab-f5b2302724d7,3fa95cce-e590-4102-9a49-6ccd95a5d5cf,to iu koto o shitte iru                                                                                                                                                                                                                                         ,387bb5d7-9b84-4867-8597-65ed834dddcd
6f02dd3b-bde5-4e3f-b842-fe34d876d472,2f19c75b-86e8-42fb-bcc3-8342e3377563,sutoresu o nokosazu ni asa-me o samaseru nda                                                                                                                                                                                                                    ,bb4d5c07-02bb-4fa3-bde2-fa4e8e6bf326
7063f4dd-cfcb-4a0a-829b-b60610a021aa,2ae40faa-5cd3-4b3c-94fe-ecf1298322b3,akanbō no yō ni hirō ya                                                                                                                                                                                                                                         ,b33acf68-7a18-4d93-99bb-abdf75bc6d7f
748d69a6-b02d-432d-bbc5-271fd7189a66,00abeb37-e788-4fb9-937a-54ea98914175,thimos irthe to telos irthe o                                                                                                                                                                                                                                   ,1a589a22-184a-4338-8b92-a31b9976cfb0
753b76ba-2eb3-4ab0-b684-3082e69a2485,2f19c75b-86e8-42fb-bcc3-8342e3377563,kenkōshinda demo ijō nashi to iwa reta yo                                                                                                                                                                                                                       ,c9fec0fb-ff42-4a93-bf6f-ae142c6c6dd9
7ae9e1db-0290-4ea5-94b9-954c36a8e6d1,2396dde5-e3f0-4dca-81fc-09e7f04e8ab1,yoru 11 tokiniha yuka ni tsuki                                                                                                                                                                                                                                  ,726789c7-5a76-41cf-9e57-cc2b5a713485
7c4132e4-946e-453f-893e-2cadb651bc8f,4f9224cc-0eda-456f-8b07-13d648a0c2a1,Joestar Family Secret Technique                                                                                                                                                                                                                                 ,475300e3-5ae8-48ff-a574-b293f5f596f4
81c44498-f15d-4f53-a32d-2bb1b564d9fd,3596bde5-5dd7-4d55-aae0-e30ea1a4334f,iru noda yo                                                                                                                                                                                                                                                     ,f5e0b97a-98fa-42b8-a845-b3ce1f86a1d9
8af18ba4-0312-446b-aaa1-0ec60dc371c9,3e83b241-50c9-4abb-94a7-f7afea31f2aa,taisuru shiseideari sore ga                                                                                                                                                                                                                                     ,2be458bf-f1c3-4393-99ea-58bab9865dea
92437af9-1a7f-44aa-8507-a0c0b558143a,33df489f-82d3-45d0-ba58-fc1398c99497,watashi wa tsuneni                                                                                                                                                                                                                                              ,d7c28699-7f7b-4431-81f8-ed4a2238fd30
94f4055b-f609-487a-a198-851da6b23302,348ed4c5-9360-4334-8310-444328e3a589,o negatte iki teru ningen to iu koto o setsumei shite                                                                                                                                                                                                           ,f01d4781-cb37-4cc8-aee9-62b380ad8380
96e3cbbd-5736-45f3-b000-01c0f685f080,33df489f-82d3-45d0-ba58-fc1398c99497,shigechi talks                                                                                                                                                                                                                                                  ,d2deb08e-f08f-4527-89a2-6f338e2ea5bc
9ada8b20-9ad9-4cfe-8955-f1bd38d381f3,194d374f-1afa-43d8-a9b1-5cb85cd9fac9,kekkon wa shite inai                                                                                                                                                                                                                                            ,57bba89b-10a6-49fe-afbc-6cd721a93b6d
a2290aa5-eef3-4b98-9431-0d34d9503a4d,45572cba-fc7a-4f4b-90d9-99a43934a1a9,mottomo tatakatta                                                                                                                                                                                                                                               ,3f9f8994-e7e6-40bd-9575-f288de7eeedc
a7f243e3-b981-4e1b-bd4e-2762e1c8e35c,1ff0135e-e915-4745-b5d5-dffa832749fb,yoru 8-ji made ni wa kitaku suru tabako                                                                                                                                                                                                                         ,6b143124-2d90-4d31-84d3-66f04b411423
ab222138-90bd-4200-be0d-772a15a0181f,0f36b276-2315-49d0-97f2-4f2844840a45,Watashi no na wa kirayoshikage                                                                                                                                                                                                                                  ,469d7302-7fc1-403f-ac42-a84850433dfe
b5db915e-4c3c-4ae9-96c9-daa7cc5e8c07,03e416cc-203f-46b9-9300-3e320c3d5d75,Joseph Joestar                                                                                                                                                                                                                                                  ,1c4e1640-cadf-4628-a8be-f6b49635fef7
ba265e25-6d1d-4322-bc09-b809fbc8fa69,2396dde5-e3f0-4dca-81fc-09e7f04e8ab1,kanarazu 8-jikan wa suimin o toru yō ni shite iru                                                                                                                                                                                                               ,75fda575-78d8-411d-a343-4c5036217903
bbe4b86e-28e0-4a2a-a3fc-2bf9dc44653e,45572cba-fc7a-4f4b-90d9-99a43934a1a9,to shite mo watashi                                                                                                                                                                                                                                             ,4178f1b1-6e07-484d-9f29-329a6f65ba95
be706294-1649-489a-94cd-73ebb92bd2c3,4f9224cc-0eda-456f-8b07-13d648a0c2a1,wa darenimo makenga ne                                                                                                                                                                                                                                          ,469d7302-7fc1-403f-ac42-a84850433dfe
d2336ef4-5355-479f-8c85-ad07dc4562ea,3e83b241-50c9-4abb-94a7-f7afea31f2aa,to iu no ga watashi no shakai ni                                                                                                                                                                                                                                ,1c4e1640-cadf-4628-a8be-f6b49635fef7
d474ded2-da58-4926-893e-bd8cdb51bd55,348ed4c5-9360-4334-8310-444328e3a589,kokoro no heion                                                                                                                                                                                                                                                 ,df4a7175-c712-42fa-861a-45af932ad0d1
e4f54158-ad3f-425b-ad71-a3cf65c7dd6b,0d6b0de2-d9ef-429c-91b0-435764602f78,ekdikisi ekdikisi ekdikisi ekdikisi kratos thimos that tous skotoso oloos                                                                                                                                                                                       ,3f9f8994-e7e6-40bd-9575-f288de7eeedc
edb9eaa7-bcbd-496b-896b-c99171741fa1,3741ade7-5841-4cd1-8870-ae6a8da34204,nemurenai to itta teki o tsukuranai                                                                                                                                                                                                                             ,1a589a22-184a-4338-8b92-a31b9976cfb0
